+128.75 ; -058.05 ; * ; r 
+129.21 ; -052.81 ; * ; r 
+133.17 ; -056.90 ; * ; r 
+134.26 ; -058.17 ; * ; r 
+133.81 ; -059.79 ; * ; r 
+132.24 ; -060.59 ; * ; r 
+131.43 ; -061.81 ; * ; r 
+132.02 ; -061.47 ; * ; r 
+132.79 ; -061.13 ; * ; r 
+131.76 ; -062.73 ; * ; r 
+132.08 ; -062.87 ; * ; r 
+133.32 ; -061.46 ; * ; r 
+134.11 ; -060.87 ; * ; r 
+134.06 ; -062.02 ; * ; r 
+133.34 ; -063.48 ; * ; r 
+135.06 ; -064.97 ; * ; r 
+137.46 ; -064.63 ; * ; r 
+139.33 ; -063.89 ; * ; r 
+136.46 ; -059.20 ; * ; r 
+137.46 ; -058.98 ; * ; r 
+138.45 ; -059.51 ; * ; r 
+135.93 ; -060.34 ; * ; r 
+135.61 ; -060.73 ; * ; r 
+137.38 ; -060.74 ; * ; r 
+135.98 ; -061.38 ; * ; r 
+138.51 ; -060.00 ; * ; r 
+141.13 ; -059.23 ; * ; r 
+148.86 ; -063.06 ; * ; r 
+149.88 ; -063.79 ; * ; r 
+150.78 ; -064.78 ; * ; r 
+152.24 ; -064.61 ; * ; r 
+154.03 ; -064.97 ; * ; r 
+155.17 ; -064.34 ; * ; r 
+155.05 ; -064.58 ; * ; r 
+155.39 ; -064.88 ; * ; r 
+156.12 ; -064.04 ; * ; r 
+156.25 ; -064.33 ; * ; r 
+154.12 ; -060.96 ; * ; r 
+155.37 ; -060.93 ; * ; r 
+156.39 ; -057.98 ; * ; r 
+173.29 ; -051.04 ; * ; r 
+169.98 ; -061.31 ; * ; r 
+137.98 ; -051.25 ; * ; r 
+158.66 ; -063.31 ; * ; r 
+158.42 ; -064.46 ; * ; r 
+160.14 ; -062.34 ; * ; r 
+161.92 ; -062.18 ; * ; r 
+161.21 ; -062.66 ; * ; r 
+161.09 ; -062.95 ; * ; r 
+160.35 ; -063.16 ; * ; r 
+160.74 ; -058.73 ; * ; r 
+162.90 ; -063.77 ; * ; r 
+164.82 ; -063.61 ; * ; r 
+165.74 ; -062.87 ; * ; r 
+166.11 ; -062.84 ; * ; r 
+163.23 ; -061.53 ; * ; r 
+164.05 ; -061.60 ; * ; r 
+165.84 ; -061.46 ; * ; r 
+168.46 ; -057.96 ; * ; r 
+168.61 ; -057.21 ; * ; r 
+168.80 ; -064.27 ; * ; r 
+171.35 ; -064.68 ; * ; r 
+171.40 ; -062.21 ; * ; r 
+172.87 ; -063.62 ; * ; r 
+172.93 ; -057.64 ; * ; r 
+174.74 ; -052.13 ; * ; r 
+172.71 ; -058.40 ; * ; r 
+172.62 ; -059.11 ; * ; r 
+173.30 ; -059.77 ; * ; r 
+174.05 ; -058.31 ; * ; r 
+176.55 ; -064.05 ; * ; r 
+176.03 ; -059.03 ; * ; r 
+178.78 ; -062.65 ; * ; r 
+179.95 ; -054.95 ; * ; r 
+178.74 ; -057.07 ; * ; r 
+178.10 ; -055.28 ; * ; r 
+178.98 ; -053.96 ; * ; r 
+179.39 ; -053.15 ; * ; r 
-053.99 ; +034.74 ; * ; r 
-008.62 ; +064.85 ; * ; r 
-174.13 ; +011.90 ; * ; r 
-055.04 ; +008.24 ; * ; r 
-013.04 ; +018.06 ; * ; r 
-012.84 ; +015.82 ; * ; r 
-013.11 ; +015.20 ; * ; r 
-010.79 ; +018.58 ; * ; r 
-017.61 ; +013.73 ; * ; r 
-014.95 ; +013.37 ; * ; r 
-015.68 ; +008.47 ; * ; r 
-016.15 ; +004.08 ; * ; r 
-007.26 ; +012.70 ; * ; r 
-007.21 ; +010.75 ; * ; r 
-007.47 ; +010.29 ; * ; r 
-007.89 ; +007.21 ; * ; r 
-007.14 ; +008.08 ; * ; r 
-055.18 ; -043.63 ; * ; r 
-054.97 ; -044.14 ; * ; r 
-054.20 ; -045.01 ; * ; r 
-054.06 ; -045.34 ; * ; r 
-053.07 ; -041.19 ; * ; r 
-051.78 ; -043.18 ; * ; r 
-052.14 ; -043.96 ; * ; r 
-052.06 ; -044.52 ; * ; r 
-052.38 ; -044.72 ; * ; r 
-052.50 ; -045.84 ; * ; r 
-052.76 ; -046.00 ; * ; r 
-052.64 ; -046.29 ; * ; r 
+038.09 ; -044.78 ; * ; r 
+154.94 ; -054.00 ; * ; r 
+154.91 ; -054.55 ; * ; r 
-163.95 ; -062.57 ; * ; r 
+127.94 ; -014.84 ; * ; r 
+137.63 ; -005.97 ; * ; r 
-067.83 ; -050.29 ; * ; r 
+028.91 ; +048.98 ; * ; r 
+034.68 ; -049.48 ; * ; r 
-051.95 ; -046.67 ; * ; r 
-052.98 ; -046.86 ; * ; r 
-052.54 ; -047.82 ; * ; r 
-052.78 ; -048.29 ; * ; r 
-051.48 ; -048.93 ; * ; r 
-049.12 ; -046.87 ; * ; r 
-008.15 ; +001.38 ; * ; r 
-010.62 ; +005.31 ; * ; r 
-011.26 ; +000.53 ; * ; r 
-002.77 ; +010.77 ; * ; r 
-083.60 ; -007.63 ; * ; r 
-077.90 ; -008.94 ; * ; r 
-071.35 ; -013.14 ; * ; r 
-070.50 ; -009.96 ; * ; r 
-069.12 ; -010.55 ; * ; r 
-062.85 ; -004.61 ; * ; r 
-057.97 ; -015.34 ; * ; r 
